  0%|▎                                                                                                                 | 31/10000 [00:04<26:09,  6.35it/s]
Episode 404 | Reward: 2.00
Episode 405 | Reward: 2.00
Episode 406 | Reward: 2.00
Episode 407 | Reward: 2.00
Episode 408 | Reward: 2.00
Episode 409 | Reward: 2.00
Episode 410 | Reward: 2.00
Episode 411 | Reward: 2.00
Episode 412 | Reward: 2.00
Episode 413 | Reward: 2.00
Episode 414 | Reward: 2.00
Episode 415 | Reward: 2.00
Episode 416 | Reward: 2.00
Episode 417 | Reward: 2.00
Episode 418 | Reward: 2.00
Episode 419 | Reward: 2.00
Episode 420 | Reward: 2.00
Episode 421 | Reward: 2.00
Episode 422 | Reward: 2.00
Episode 423 | Reward: 2.00
Episode 424 | Reward: 2.00
Episode 425 | Reward: 2.00
Episode 426 | Reward: 2.00
Episode 427 | Reward: 2.00
Episode 428 | Reward: 2.00
Episode 429 | Reward: 2.00
Episode 430 | Reward: 2.00
Episode 431 | Reward: 2.00
Episode 432 | Reward: 2.00
Episode 433 | Reward: 2.00
Episode 434 | Reward: 2.00
Episode 435 | Reward: 2.00
Episode 436 | Reward: 2.00
Episode 437 | Reward: 2.00
Episode 438 | Reward: 2.00
Episode 439 | Reward: 2.00
Episode 440 | Reward: 2.00
Episode 441 | Reward: 2.00
Episode 442 | Reward: 2.00
Episode 443 | Reward: 2.00
Episode 444 | Reward: 2.00
Episode 445 | Reward: 2.00
Episode 446 | Reward: 2.00
Episode 447 | Reward: 2.00
Episode 448 | Reward: 2.00
Episode 449 | Reward: 2.00
Episode 450 | Reward: 2.00
Episode 451 | Reward: 2.00
Episode 452 | Reward: 2.00
Episode 453 | Reward: 2.00
Episode 454 | Reward: 2.00
Episode 455 | Reward: 2.00
Episode 456 | Reward: 2.00
Episode 457 | Reward: 2.00
Episode 458 | Reward: 2.00
Episode 459 | Reward: 2.00
Episode 460 | Reward: 2.00
Episode 461 | Reward: 2.00
Episode 462 | Reward: 2.00
Episode 463 | Reward: 2.00
Episode 464 | Reward: 2.00
Episode 465 | Reward: 2.00
Episode 466 | Reward: 2.00
Episode 467 | Reward: 2.00
Episode 468 | Reward: 2.00
Episode 469 | Reward: 2.00
Episode 470 | Reward: 2.00
Episode 471 | Reward: 2.00
Episode 472 | Reward: 2.00
Episode 473 | Reward: 2.00
Episode 474 | Reward: 2.00
Episode 475 | Reward: 2.00
Episode 476 | Reward: 2.00
Episode 477 | Reward: 2.00
Episode 478 | Reward: 2.00
Episode 479 | Reward: 2.00
Episode 480 | Reward: 2.00
Episode 481 | Reward: 2.00
Episode 482 | Reward: 2.00
Episode 483 | Reward: 2.00
Episode 484 | Reward: 2.00
Episode 485 | Reward: 2.00
Episode 486 | Reward: 2.00
Episode 487 | Reward: 2.00
Episode 488 | Reward: 2.00
Episode 489 | Reward: 2.00
Episode 490 | Reward: 2.00
Episode 491 | Reward: 2.00
Episode 492 | Reward: 2.00
Episode 493 | Reward: 2.00
Episode 494 | Reward: 2.00
Episode 495 | Reward: 2.00
Episode 496 | Reward: 2.00
Episode 497 | Reward: 2.00
Episode 498 | Reward: 2.00
Episode 499 | Reward: 2.00
[INFO] Saved actor checkpoint at ./saved_models_ddpg_flappy\ddpg_actor_ep500.pt
Episode 500 | Reward: 2.00
Episode 501 | Reward: 2.00
Episode 502 | Reward: 2.00
Episode 503 | Reward: 2.00
Episode 504 | Reward: 2.00
Episode 505 | Reward: 2.00
Episode 506 | Reward: 2.00
Episode 507 | Reward: 2.00
Episode 508 | Reward: 2.00
Episode 509 | Reward: 2.00
Episode 510 | Reward: 2.00
Episode 511 | Reward: 2.00
Episode 512 | Reward: 2.00
Episode 513 | Reward: 2.00
Episode 514 | Reward: 2.00
Episode 515 | Reward: 2.00
Episode 516 | Reward: 2.00
Episode 517 | Reward: 2.00
Episode 518 | Reward: 2.00
Episode 519 | Reward: 2.00
Episode 520 | Reward: 2.00
Episode 521 | Reward: 2.00
Episode 522 | Reward: 2.00
Episode 523 | Reward: 2.00
Episode 524 | Reward: 2.00
Episode 525 | Reward: 2.00
Episode 526 | Reward: 2.00
Episode 527 | Reward: 2.00
Episode 528 | Reward: 2.00
Episode 529 | Reward: 2.00
Episode 530 | Reward: 2.00
Episode 531 | Reward: 2.00
Episode 532 | Reward: 2.00
Episode 533 | Reward: 2.00
Episode 534 | Reward: 2.00
Episode 535 | Reward: 2.00
Episode 536 | Reward: 2.00
Episode 537 | Reward: 2.00
Episode 538 | Reward: 2.00
Episode 539 | Reward: 2.00
Episode 540 | Reward: 2.00
Episode 541 | Reward: 2.00
Episode 542 | Reward: 2.00
Episode 543 | Reward: 2.00
Episode 544 | Reward: 2.00
Episode 545 | Reward: 2.00
Episode 546 | Reward: 2.00
Episode 547 | Reward: 2.00
Episode 548 | Reward: 2.00
Episode 549 | Reward: 2.00
Episode 550 | Reward: 2.00
Episode 551 | Reward: 2.00
Episode 552 | Reward: 2.00
Episode 553 | Reward: 2.00
Episode 554 | Reward: 2.00
Episode 555 | Reward: 2.00
Episode 556 | Reward: 2.00
Episode 557 | Reward: 2.00
Episode 558 | Reward: 2.00
Episode 559 | Reward: 2.00
Episode 560 | Reward: 2.00
Episode 561 | Reward: 2.00
Episode 562 | Reward: 2.00
Episode 563 | Reward: 2.00
Episode 564 | Reward: 2.00
Episode 565 | Reward: 2.00
Episode 566 | Reward: 2.00
Episode 567 | Reward: 2.00
Episode 568 | Reward: 2.00
Episode 569 | Reward: 2.00
Episode 570 | Reward: 2.00
Episode 571 | Reward: 2.00
Episode 572 | Reward: 2.00
Episode 573 | Reward: 2.00
Episode 574 | Reward: 2.00
Episode 575 | Reward: 2.00
Episode 576 | Reward: 2.00
Episode 577 | Reward: 2.00
Episode 578 | Reward: 2.00
Episode 579 | Reward: 2.00
Episode 580 | Reward: 2.00
Episode 581 | Reward: 2.00
Episode 582 | Reward: 2.00
Episode 583 | Reward: 2.00
Episode 584 | Reward: 2.00
Episode 585 | Reward: 2.00
Episode 586 | Reward: 2.00
Episode 587 | Reward: 2.00
Episode 588 | Reward: 2.00
Episode 589 | Reward: 2.00
Episode 590 | Reward: 2.00
Episode 591 | Reward: 2.00
Episode 592 | Reward: 2.00
Episode 593 | Reward: 2.00
Episode 594 | Reward: 2.00
Episode 595 | Reward: 2.00
Episode 596 | Reward: 2.00
Episode 597 | Reward: 2.00
Episode 598 | Reward: 2.00
Episode 599 | Reward: 2.00
[INFO] Saved actor checkpoint at ./saved_models_ddpg_flappy\ddpg_actor_ep600.pt
Episode 600 | Reward: 2.00
Episode 601 | Reward: 2.00
Episode 602 | Reward: 2.00
Episode 603 | Reward: 2.00
Episode 604 | Reward: 2.00
Episode 605 | Reward: 2.00
Episode 606 | Reward: 2.00
Episode 607 | Reward: 2.00
Episode 608 | Reward: 2.00
Episode 609 | Reward: 2.00
Episode 610 | Reward: 2.00
Episode 611 | Reward: 2.00
Episode 612 | Reward: 2.00
Episode 613 | Reward: 2.00
Episode 614 | Reward: 2.00
Episode 615 | Reward: 2.00
Episode 616 | Reward: 2.00
Episode 617 | Reward: 2.00
Episode 618 | Reward: 2.00
Episode 619 | Reward: 2.00
Episode 620 | Reward: 2.00
Episode 621 | Reward: 2.00
Episode 622 | Reward: 2.00
Episode 623 | Reward: 2.00
Episode 624 | Reward: 2.00
Episode 625 | Reward: 2.00
Episode 626 | Reward: 2.00
Episode 627 | Reward: 2.00
Episode 628 | Reward: 2.00
Episode 629 | Reward: 2.00
Episode 630 | Reward: 2.00
Episode 631 | Reward: 2.00
Episode 632 | Reward: 2.00
Episode 633 | Reward: 2.00
Episode 634 | Reward: 2.00
Episode 635 | Reward: 2.00
Episode 636 | Reward: 2.00
Episode 637 | Reward: 2.00
Episode 638 | Reward: 2.00
Episode 639 | Reward: 2.00
Episode 640 | Reward: 2.00
Episode 641 | Reward: 2.00
Episode 642 | Reward: 2.00
Episode 643 | Reward: 2.00
Episode 644 | Reward: 2.00
Episode 645 | Reward: 2.00
Episode 646 | Reward: 2.00
Episode 647 | Reward: 2.00
Episode 648 | Reward: 2.00
Episode 649 | Reward: 2.00
Episode 650 | Reward: 2.00
Episode 651 | Reward: 2.00
Episode 652 | Reward: 2.00
Episode 653 | Reward: 2.00
Episode 654 | Reward: 2.00
Episode 655 | Reward: 2.00
Episode 656 | Reward: 2.00
Episode 657 | Reward: 2.00
Episode 658 | Reward: 2.00
Episode 659 | Reward: 2.00
Episode 660 | Reward: 2.00
Episode 661 | Reward: 2.00
Episode 662 | Reward: 2.00
Episode 663 | Reward: 2.00
Episode 664 | Reward: 2.00
Episode 665 | Reward: 2.00
Episode 666 | Reward: 2.00
Episode 667 | Reward: 2.00
Episode 668 | Reward: 2.00
Episode 669 | Reward: 2.00
Episode 670 | Reward: 2.00
Episode 671 | Reward: 2.00
Episode 672 | Reward: 2.00
Episode 673 | Reward: 2.00
Episode 674 | Reward: 2.00
Episode 675 | Reward: 2.00
Episode 676 | Reward: 2.00
Episode 677 | Reward: 2.00
Episode 678 | Reward: 2.00
Episode 679 | Reward: 2.00
Episode 680 | Reward: 2.00
Episode 681 | Reward: 2.00
Episode 682 | Reward: 2.00
Episode 683 | Reward: 2.00
Episode 684 | Reward: 2.00
Episode 685 | Reward: 2.00
Episode 686 | Reward: 2.00
Episode 687 | Reward: 2.00
Episode 688 | Reward: 2.00
Episode 689 | Reward: 2.00
Episode 690 | Reward: 2.00
Episode 691 | Reward: 2.00
Episode 692 | Reward: 2.00
Episode 693 | Reward: 2.00
Episode 694 | Reward: 2.00
Episode 695 | Reward: 2.00
Episode 696 | Reward: 2.00
Episode 697 | Reward: 2.00
Episode 698 | Reward: 2.00
Episode 699 | Reward: 2.00
[INFO] Saved actor checkpoint at ./saved_models_ddpg_flappy\ddpg_actor_ep700.pt
Episode 700 | Reward: 2.00
Episode 701 | Reward: 2.00
Episode 702 | Reward: 2.00
Episode 703 | Reward: 2.00
Episode 704 | Reward: 2.00
Episode 705 | Reward: 2.00
Episode 706 | Reward: 2.00
Episode 707 | Reward: 2.00
Episode 708 | Reward: 2.00
Episode 709 | Reward: 2.00
Episode 710 | Reward: 2.00
Episode 711 | Reward: 2.00
Episode 712 | Reward: 2.00
Episode 713 | Reward: 2.00
Episode 714 | Reward: 2.00
Episode 715 | Reward: 2.00
Episode 716 | Reward: 2.00
Episode 717 | Reward: 2.00
Episode 718 | Reward: 2.00
Episode 719 | Reward: 2.00
Episode 720 | Reward: 2.00
Episode 721 | Reward: 2.00
